#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
485.0%	97000	-30144.81413425418	304.91509327137936	121	23:58:10
490.0%	98000	-29832.67572324656	302.8463326327831	121	23:58:09
495.0%	99000	-29865.37769510562	303.07205983222275	121	23:58:07
500.0%	100000	-30195.31924741142	302.1204979831607	121	23:58:06
505.0%	101000	-30066.12350541292	288.0141591127285	121	23:58:04
510.0%	102000	-29732.43471044008	299.9060231999948	121	23:58:03
515.0%	103000	-29998.07964090185	299.91336618536036	121	23:58:02
520.0%	104000	-30136.36952691138	305.79351617334754	121	23:58:00
525.0%	105000	-29772.542230383522	300.7698493051517	121	23:57:59
530.0%	106000	-29929.348611095804	298.81778203897306	121	23:57:57
535.0%	107000	-30059.945007720817	292.1443701343125	121	23:57:56
540.0%	108000	-30131.14499859893	299.65309543832115	121	23:57:55
545.0%	109000	-30120.12424717468	309.01300669638715	121	23:57:53
550.0%	110000	-29827.234417489904	306.78131938974946	121	23:57:52
555.0%	111000	-29882.831850791612	300.6237262332412	120	23:57:50
560.0%	112000	-29709.722748457134	304.81240738834595	121	23:57:49
565.0%	113000	-30255.2434303771	310.06550503029797	121	23:57:47
570.0%	114000	-29865.05813625001	293.1696070407581	121	23:57:46
575.0%	115000	-30019.887089229072	294.0950193644596	121	23:57:44
580.0%	116000	-30044.960967055726	303.0214236489522	121	23:57:43
585.0%	117000	-30042.97214756027	292.69616083002217	121	23:57:42
590.0%	118000	-29969.109017890325	308.69023104234157	121	23:57:40
595.0%	119000	-29991.1758950442	305.14352800943755	121	23:57:39
600.0%	120000	-29923.31485240496	298.951559881739	121	23:57:37
605.0%	121000	-30058.52786557231	308.03015601890604	121	23:57:36
610.0%	122000	-29582.479620058264	304.71433312717573	121	23:57:35
615.0%	123000	-29841.677233365248	306.618193333775	121	23:57:33
620.0%	124000	-30031.34411788947	304.61055552427473	121	23:57:32
625.0%	125000	-30097.92014196189	297.036574228827	121	23:57:30
630.0%	126000	-30149.005803852982	309.5808337346462	121	23:57:29
635.0%	127000	-29967.76716956563	307.1777575788502	121	23:57:27
640.0%	128000	-29807.94156358196	308.3671655616862	121	23:57:26
645.0%	129000	-29449.517228071927	305.97772280186996	121	23:57:25
650.0%	130000	-29914.32000812443	303.6408452029146	121	23:57:23
655.0%	131000	-29756.688598178356	295.51656343587865	121	23:57:22
660.0%	132000	-29741.860162673926	296.05483437059735	121	23:57:20
665.0%	133000	-30027.067694881523	301.32126547518243	121	23:57:19
670.0%	134000	-30227.342872510868	298.62301152493205	121	23:57:18
675.0%	135000	-30045.786461048818	296.6583006534093	121	23:57:16
680.0%	136000	-30151.17945898336	297.07989831997475	121	23:57:15
685.0%	137000	-29934.000332755793	292.06827992636073	121	23:57:13
690.0%	138000	-30108.847599891276	298.24663340109913	121	23:57:12
695.0%	139000	-30238.963798191602	297.7903007763344	121	23:57:10
700.0%	140000	-29859.883492576453	310.93665122687423	121	23:57:09
705.0%	141000	-29865.371267840645	290.9623113910869	121	23:57:08
710.0%	142000	-29891.406428148126	292.6574819575365	121	23:57:06
715.0%	143000	-29996.23304381373	301.62544163205564	121	23:57:05
720.0%	144000	-29994.95975370772	290.22836122962735	121	23:57:03
725.0%	145000	-29797.3523942029	297.24962087897876	121	23:57:02
730.0%	146000	-29980.883730559028	297.6367670353507	121	23:57:00
735.0%	147000	-30048.9418779572	286.81317044235857	121	23:56:59
740.0%	148000	-30194.607220731414	300.6178075188378	121	23:56:58
745.0%	149000	-29819.133419515478	295.833314746577	121	23:56:56
750.0%	150000	-30051.6760729269	297.3114319768241	121	23:56:55
755.0%	151000	-30082.34841376182	298.3054158535571	121	23:56:53
760.0%	152000	-30178.606246424693	300.7023699831577	121	23:56:52
765.0%	153000	-30016.971260260092	303.1379838297564	121	23:56:51
770.0%	154000	-30112.979801563488	301.14787114818273	121	23:56:49
775.0%	155000	-29893.06959244184	302.1920603698484	121	23:56:48
780.0%	156000	-30141.4427468309	301.71354133650453	121	23:56:46
785.0%	157000	-30094.846717866254	302.6632993865194	121	23:56:45
790.0%	158000	-29768.543281782913	296.451849854718	121	23:56:44
795.0%	159000	-29833.758180588426	307.1145868421604	121	23:56:42
800.0%	160000	-29809.89695779851	303.25440325403474	121	23:56:41
805.0%	161000	-30139.461246697785	298.20034500063673	121	23:56:39
810.0%	162000	-30246.20727825357	298.0390634565679	121	23:56:38
815.0%	163000	-30429.648832253122	305.5984526105656	121	23:56:37
820.0%	164000	-30095.08215799168	296.26760598824546	121	23:56:35
825.0%	165000	-30104.824593835452	298.9913102924174	121	23:56:34
830.0%	166000	-29824.202608106047	298.7125305671948	121	23:56:32
835.0%	167000	-29946.118860082846	297.0964856753591	121	23:56:31
840.0%	168000	-29948.550775512267	298.7542791369342	121	23:56:29
845.0%	169000	-29941.560992656305	304.3260426528237	121	23:56:28
850.0%	170000	-30119.825750297343	297.8123110079077	121	23:56:27
855.0%	171000	-30055.445614793018	304.7717767455085	121	23:56:25
860.0%	172000	-29741.705643604364	300.6316024509235	121	23:56:24
865.0%	173000	-30021.674423417193	306.2946355687751	121	23:56:22
870.0%	174000	-29943.833611190843	290.0788375461902	121	23:56:21
875.0%	175000	-30035.858573991485	303.07878038979896	121	23:56:20
880.0%	176000	-30084.447010934586	292.83142036176616	121	23:56:18
885.0%	177000	-29788.860611273703	299.92647963791666	121	23:56:17
890.0%	178000	-29586.764660079032	306.0451315547491	121	23:56:15
895.0%	179000	-29922.546819008683	298.84008620127184	121	23:56:14
900.0%	180000	-29934.33335001039	305.2017275907719	121	23:56:13
905.0%	181000	-30081.420817517006	296.469887904791	121	23:56:11
910.0%	182000	-29870.350011946313	302.2239000869427	121	23:56:10
915.0%	183000	-30035.483915568737	300.7222636885823	121	23:56:08
920.0%	184000	-30175.54669363628	304.98304840723586	121	23:56:07
925.0%	185000	-29639.973382398428	295.4770890757219	121	23:56:05
930.0%	186000	-29939.9573474738	303.0907742074412	121	23:56:04
935.0%	187000	-29914.58028249035	290.22559904181384	121	23:56:03
940.0%	188000	-30205.82576916853	296.680831819014	121	23:56:01
945.0%	189000	-29845.514635085943	304.2154622352615	121	23:56:00
950.0%	190000	-29624.854064912477	302.62324506573566	121	23:55:58
955.0%	191000	-29998.873269832693	286.8849014138646	121	23:55:57
960.0%	192000	-30395.7406164961	292.46314393296893	121	23:55:56
965.0%	193000	-30237.27226522632	301.4556549717195	121	23:55:54
970.0%	194000	-29950.776244969253	281.9490665078448	121	23:55:53
975.0%	195000	-29767.515285247704	298.16197938447647	121	23:55:51
980.0%	196000	-29910.27139878538	308.4928248056118	121	23:55:50
985.0%	197000	-29718.175502113474	299.22718744205423	121	23:55:48
990.0%	198000	-29936.893835121067	297.3417873783604	121	23:55:47
995.0%	199000	-29810.660173037293	291.21594698571494	121	23:55:46
1000.0%	200000	-29686.20590673588	294.979043855543	121	23:55:44
1005.0%	201000	-29906.15995864445	306.89580521179	121	23:55:43
1010.0%	202000	-29617.659768861544	296.6772777648808	121	23:55:41
1015.0%	203000	-29891.386178610905	303.3488479935179	121	23:55:40
1020.0%	204000	-30021.21075634184	299.9378856570294	121	23:55:39
